Topic,Count,Name,Representation,Representative_Docs
-1,2856,-1_presiden_kerja_aja_ada,"['presiden', 'kerja', 'aja', 'ada', 'gak', 'ga', 'jadi', 'tapi', 'masih', 'di']","['menlu yang gak perlu karena dia tidak kena dampak apa pun sehat saja dan masih bisa tidur dengan tenang sementara masyarakat yang terdampak bencana sangat membutuhkan bantuan itu sesegera mungkin', 'bisa ngga kosongnya tuh gak kosong kosong banget gak punya tongkat nabi musa tapi punya kekuasaan pak wewenang lagian udah tau gak punya kekuatan ya gak usah sok kuat terima bantuan asing terakhir lansia itu nikmatin hidup ibadah bukan nyalonin diri jadi presiden', 'sambil yang lain masih rapat soal istilah presiden prabowo sudah bahas akses darurat karena prabowo pulihkan infrastruktur itu kerja bukan narasi tujuannya jelas biar rakyat cepat bangkit pasca bencana jalan dibuka mobilitas hidup lagi ekonomi ikut bangun']"
0,522,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,237,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,196,2_siapa_suruh_jadi_presiden,"['siapa', 'suruh', 'jadi', 'presiden', 'tua', 'ya', 'lah', 'omon', 'dukung', 'nya']","['suruh siapa jadi presiden', 'lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden']"
3,142,3_pak_jd_aja_apa,"['pak', 'jd', 'aja', 'apa', 'gak', 'tdk', 'nya', 'lg', 'ga', 'klo']","['makanyaaa klo dah tua lansia g usah jdi presiden dah lah pak mulai besok pensiun ajaaaa dirumah enak pak menikmati hari tua daripada capek ya kan saya sbg wni jg sangat bersyukur klo bpk besok mau pensiun', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
4,125,4_rakyatnya_orang_mana_ada,"['rakyatnya', 'orang', 'mana', 'ada', 'jawa', 'dia', 'presiden', 'jadi', 'bukan', 'ya']","['lawak presiden gada yang guna aja masih bisa bikin lelucon begini noh mamam pecitraan jokowi tipikal banget lagian yang ngatain jawa hama itu darimana sih perasaan orang luar jawa yang bilang jawa hama tapi selalu sensinya sama sunda ngelawak', 'ya emg gampang cuma konteksnya beda ini pns yg kemarin bukan pns lha dikira sedikit bupatigubernur dan wakilnya itu dulu bukan pns banyak mantan sekda yg skrg jd pimpinan daerah tinggal ajukan pensiun atau resign bisa lsg nyalon presiden kalo emg ada parpol yg minat', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
5,122,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'subianto', 'semuatanganibencana']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,118,6_indonesia_rakyat_merdeka_indonesiaemas,"['indonesia', 'rakyat', 'merdeka', 'indonesiaemas', 'jadi', 'aceh', 'presiden', 'sejarah', 'tapi', 'sekolahrakyat']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
7,88,7_penanganan_bencana_terdampak_percepatan,"['penanganan', 'bencana', 'terdampak', 'percepatan', 'terkendali', 'pastikan', 'cepat', 'sumatera', 'berjalan', 'huniankorbanbencana']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
8,87,8_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
